InvoiceDate,InvoiceNumber,Customer,CustCity,CustState,CustZip,CustCountry,EndCustomer,ProductPartNumber,Quantity,UnitCost,UnitResale,Total Value (based on Unit Cost),Total Value (based on Unit Resale),
"03/06/20",974665,"VeEX","Fremont","CA","94538","US","VeEX","SIT5001AC-8D-33N0-24.576000Y",1000,"$2.2","$2.71","$2200","$2710",
"03/04/20",974643,"Playback Designs","Alamo","CA","94507","US","Playback Designs","SIT3808AC-DF-33SY-45.158400X",250,"$5.96","$13.25","$1490","$3312.5",
"03/04/20",974643,"Playback Designs","Alamo","CA","94507","US","Playback Designs","SIT3808AC-DF-33SY-49.152000X",250,"$5.96","$13.25","$1490","$3312.5",
"03/30/20",975068,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT9102AC-233N25E100.00000Y",1000,"$3.12","$3.9","$3120","$3900",
"03/30/20",975068,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT9102AC-233N25E100.00000Y",1000,"$3.12","$3.9","$3120","$3900",
"03/30/20",975069,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-33E-33.33333Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975069,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-33E-33.33333Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975069,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-33E-33.33333Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975069,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-33E-33.33333Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975070,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-25E-50.00000Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975070,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-25E-50.00000Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975070,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-25E-50.00000Y",1000,"$.49","$.62","$492","$620",
"03/30/20",975070,"Sanmina - SCI Corporation - MA","Huntsville","AL","35807","US","Simplivity - MA","SIT8103AC-33-25E-50.00000Y",1000,"$.49","$.62","$492","$620",
